# 5091 - 5091
# controller = 
# owner = 
# culture = 
# religion = 
# hre = yes
capital = "Carnutria" #Meduana
# trade_goods = 
#Total development: 3
base_tax = 4
base_production = 2
base_manpower = 3
# fort_15th = yes
# center_of_trade = 
owner = CNT
culture = carnute
trade_goods = grain
religion = druidic
controller = CNT
discovered_by = eastern
discovered_by = euro_pagan_tech
discovered_by = western
discovered_by = celtic_tech
discovered_by = muslim
discovered_by = ottoman
discovered_by = west_mongol_group
add_core = CNT
is_city = no
