# 5093 - 5093
# controller = 
# owner = 
# culture = 
# religion = 
# hre = yes
capital = "Camulogena" #Orleans
# trade_goods = 
#Total development: 3
base_tax = 3
base_production = 3
base_manpower = 2
# fort_15th = yes
# center_of_trade = 
owner = SNN
culture = senonian
trade_goods = grain
religion = druidic
controller = SNN
discovered_by = eastern
discovered_by = euro_pagan_tech
discovered_by = western
discovered_by = celtic_tech
discovered_by = muslim
discovered_by = ottoman
discovered_by = west_mongol_group
add_core = SNN
is_city = no
