# 5096 - 5096
# controller = 
# owner = 
# culture = 
# religion = 
# hre = yes
capital = "Brigantion" #Gascony
# trade_goods = 
#Total development: 3
base_tax = 3
base_production = 4
base_manpower = 3
# fort_15th = yes
# center_of_trade = 
add_core = TRV
owner = TRV
culture = pictonian
trade_goods = livestock
religion = druidic
controller = TRV
discovered_by = eastern
discovered_by = euro_pagan_tech
discovered_by = western
discovered_by = celtic_tech
discovered_by = muslim
discovered_by = ottoman
discovered_by = west_mongol_group
